formatted_date,date,close,high,low,open,volume,adjclose,changes
2021-07-11,2021-07-11,34585.0,33347.0,33509.0,34240.0,20108729370,34240.0,positive
2021-07-12,2021-07-12,34592.0,32697.0,34254.0,33156.0,24321499537,33156.0,positive
2021-07-13,2021-07-13,33327.0,32261.0,33125.0,32702.0,19120856669,32702.0,negative
2021-07-14,2021-07-14,33061.0,31639.0,32724.0,32822.0,21376531210,32822.0,negative
2021-07-15,2021-07-15,33160.0,31176.0,32828.0,31781.0,21300524237,31781.0,positive
2021-07-16,2021-07-16,32218.0,31101.0,31842.0,31422.0,23699476918,31422.0,negative
2021-07-17,2021-07-17,31936.0,31224.0,31397.0,31533.0,18895018942,31533.0,negative
2021-07-18,2021-07-18,32399.0,31215.0,31534.0,31797.0,18787986667,31797.0,positive
2021-07-19,2021-07-19,31886.0,30564.0,31800.0,30818.0,20434789545,30818.0,negative
2021-07-20,2021-07-20,31006.0,29361.0,30838.0,29807.0,23148267245,29807.0,negative
2021-07-21,2021-07-21,32752.0,29526.0,29796.0,32111.0,28203024559,32111.0,positive
2021-07-22,2021-07-22,32576.0,31745.0,32139.0,32313.0,19555230518,32313.0,negative
2021-07-23,2021-07-23,33582.0,32058.0,32306.0,33582.0,22552046192,33582.0,positive
2021-07-24,2021-07-24,34490.0,33425.0,33594.0,34292.0,21664706865,34292.0,positive
2021-07-25,2021-07-25,35365.0,33882.0,34290.0,35350.0,20856685287,35350.0,positive
2021-07-26,2021-07-26,40500.0,35287.0,35384.0,37338.0,51022126212,37338.0,positive
2021-07-27,2021-07-27,39407.0,36442.0,37276.0,39407.0,35097370560,39407.0,negative
2021-07-28,2021-07-28,40816.0,38862.0,39503.0,39996.0,38702404695,39996.0,positive
2021-07-29,2021-07-29,40593.0,39352.0,39995.0,40008.0,27167146027,40008.0,negative
2021-07-30,2021-07-30,42236.0,38397.0,40027.0,42236.0,33072782960,42236.0,positive
2021-07-31,2021-07-31,42231.0,41111.0,42196.0,41626.0,25802845343,41626.0,negative
2021-08-01,2021-08-01,42542.0,39541.0,41461.0,39975.0,26688438115,39975.0,positive
2021-08-02,2021-08-02,40419.0,38746.0,39907.0,39202.0,25595265436,39202.0,negative
2021-08-03,2021-08-03,39750.0,37782.0,39178.0,38153.0,26189830450,38153.0,negative
2021-08-04,2021-08-04,39952.0,37589.0,38213.0,39748.0,25372562724,39748.0,positive
2021-08-05,2021-08-05,41342.0,37458.0,39745.0,40870.0,35185031017,40870.0,positive
2021-08-06,2021-08-06,43272.0,39932.0,40866.0,42816.0,38226483046,42816.0,positive
2021-08-07,2021-08-07,44690.0,42619.0,42833.0,44556.0,40030862141,44556.0,positive
2021-08-08,2021-08-08,45282.0,43332.0,44574.0,43798.0,36302664750,43798.0,positive
2021-08-09,2021-08-09,46457.0,42849.0,43792.0,46365.0,38734079049,46365.0,positive
